tsmcode,alert
ANR0101E,high
ANR0102E,high
ANR0104E,high
ANR0106E,high
ANR0110E,low
ANR0130E,critical
ANR0131E,critical
ANR0159E,high
ANR0162W,info
ANR0170E,high
ANR0203W,critical
ANR0205W,critical
ANR0207E,critical
ANR0214W,high
ANR0215W,high
ANR0230E,critical
ANR0246E,critical
ANR0248E,high
ANR0252E,high
ANR0253E,critical
ANR0254E,critical
ANR0255E,critical
ANR0256E,critical
ANR0257E,critical
ANR0258E,high
ANR0277E,high
ANR0362W,high
ANR0420W,ignore
ANR0422W,ignore
ANR0423W,medium
ANR0424W,low
ANR0429W,low
ANR0431W,low
ANR0435W,low
ANR0440W,low
ANR0444W,low
ANR0451W,low
ANR0454E,medium
ANR0470W,low
ANR0473W,low
ANR0479W,medium
ANR0480W,low
ANR0481W,low
ANR0482W,ignore
ANR0483W,ignore
ANR0484W,medium
ANR0486W,medium
ANR0487W,low
ANR0516E,info
ANR0522W,high
ANR0523W,high
ANR0524W,low
ANR0525W,medium
ANR0527W,high
ANR0530W,medium
ANR0532W,high
ANR0534W,medium
ANR0535W,info
ANR0539W,info
ANR0541W,medium
ANR0542W,medium
ANR0546W,high
ANR0548W,medium
ANR0551E,low
ANR0565W,medium
ANR0566W,medium
ANR0567W,info
ANR0568W,ignore
ANR0706E,ignore
ANR0707E,ignore
ANR0722E,medium
ANR0730E,high
ANR0848W,low
ANR0852E,ignore
ANR0871E,ignore
ANR0874E,medium
ANR0918E,medium
ANR0923E,ignore
ANR0924E,ignore
ANR0927E,ignore
ANR0928E,ignore
ANR0942E,ignore
ANR0944E,ignore
ANR0947E,ignore
ANR1020W,ignore
ANR1021W,medium
ANR1023W,medium
ANR1025W,medium
ANR1080W,low
ANR1081E,low
ANR1082E,low
ANR1083E,high
ANR1085E,info
ANR1086E,medium
ANR1092E,medium
ANR1120W,ignore
ANR1121E,medium
ANR1122E,low
ANR1123E,high
ANR1124E,medium
ANR1126E,medium
ANR1134E,low
ANR1135E,low
