name,frequency,columns,internal_name,version
"occupancy","NEVER","tsmserver;FILESPACE_ID;FILESPACE_NAME;LOGICAL_MB;NODE_NAME;NUM_FILES;PHYSICAL_MB;REPORTING_MB;STGPOOL_NAME;TYPE","OCCUPANCY",0
"activity_summary","DAILY","ACTIVITY;ADDRESS;AFFECTED;BYTES;COMM_WAIT;COMMMETH;DRIVE_NAME;END_TIME;ENTITY;EXAMINED;FAILED;IDLE;LAST_USE;LIBRARY_NAME;MEDIAW;NUM_OFFSITE_VOLS;NUMBER;PROCESSES;SCHEDULE_NAME;START_TIME;SUCCESSFUL;VOLUME_NAME","ACTIVITY_SUMMARY_VIEW",1
"subscriptions","DAILY","CONFIG_MANAGER;IS_CURRENT;LAST_UPDATE;PROFILE_NAME;SUBSCRIBER","SUBSCRIPTIONVIEW",1
"domains","DAILY","ACTIVATE_DATE;ACTIVESTGPOOLS;ARCHRETENTION;BACKRETENTION;CHG_ADMIN;CHG_TIME;DEFMGMTCLASS;DESCRIPTION;DOMAIN_NAME;NUM_NODES;PROFILE;SET_LAST_ACTIVATED","DOMAINSVIEW",1
"profiles","DAILY","CONFIG_MANAGER;DESCRIPTION;LOCKED;PROFILE_NAME","PROFILEVIEW",1
"nodes","DAILY","AGGREGATION;ARCHDELETE;AUTO_FS_RENAME;BACKDELETE;BACKUP_INITIATION;CLIENT_HLA;CLIENT_LEVEL;CLIENT_LLA;CLIENT_OS_LEVEL;CLIENT_OS_NAME;CLIENT_PRODUCTS;CLIENT_RELEASE;CLIENT_SUBLEVEL;CLIENT_SYSTEM_ARCHITECTURE;CLIENT_TARGET_LEVEL;CLIENT_TARGET_RELEASE;CLIENT_TARGET_SUBLEVEL;CLIENT_TARGET_VERSION;CLIENT_VERSION;COLLOCGROUP_NAME;COMPRESSION;CONTACT;DATAREADPATH;DATAWRITEPATH;DEDUPLICATION;DOMAIN_NAME;EMAIL_ADDRESS;GUID;HYPERVISOR;INVALID_PW_COUNT;KEEP_MP;LASTACC_TIME;LASTSESS_COMMMETH;LASTSESS_COMMWAIT;LASTSESS_DURATION;LASTSESS_IDLEWAIT;LASTSESS_MEDIAWAIT;LASTSESS_RECVD;LASTSESS_SENT;LOCKED;MACADDR;MAX_MP_ALLOWED;NODE_NAME;NODETYPE;OPTION_SET;PAPI;PASSEXP;PBRAND;PCOUNT;PLATFORM_NAME;PMODEL;PROXY_AGENT;PROXY_TARGET;PTYPE;PVENDOR;PWSET_TIME;REG_ADMIN;REG_TIME;REPL_ARRULE;REPL_BKRULE;REPL_MODE;REPL_SPRULE;REPL_STATE;ROLE;ROLE_O;SCANERROR;SESSION_INITIATION;TCP_ADDRESS;TCP_NAME;TXNGROUPMAX;URL;VALIDATEPROTOCOL","NODESVIEW",1
"filespaces","DAILY","AR_REPLRULE_NAME;AR_REPLRULE_STATE;BACKUP_END;BACKUP_START;BK_REPLRULE_NAME;BK_REPLRULE_STATE;CAPACITY;DELETE_OCCURRED;FILESPACE_HEXNAME;FILESPACE_ID;FILESPACE_NAME;FILESPACE_TYPE;LAST_REPL_COMP;LAST_REPL_START;NODE_NAME;PCT_UTIL;SP_REPLRULE_NAME;SP_REPLRULE_STATE;UNICODE_FILESPACE","FILESPACEVIEW",1
"associations","DAILY","CHG_ADMIN;CHG_TIME;DOMAIN_NAME;NODE_NAME;SCHEDULE_NAME","ASSOCIATIONS",1
"status","FIVELY","ACCOUNTING;ACTIVERECEIVERS;ACTLOGRETENTION;ACTLOGSIZE;ACTRECORDNUMBER;ARCHRETPROT;AUTHENTICATION;AVAILABILITY;CLIENTACTDURATION;CONFIG_MANAGER;CONTEXT_MESSAGING;CPUINFO_REFRESH;CROSSDEFINE;DB_DIRS;DBRPTMODE;DEDUPVERLEVEL;DEFAULT_REPL_RULE_ARCHIVE;DEFAULT_REPL_RULE_BACKUP;DEFAULT_REPL_RULE_SPACEMAN;ENCRYPTION_STRENGTH;EVENTRETENTION;INBOUND_SESSIONS_DISABLED;INSTALL_DATE;INVALIDPWLIMIT;LAST_REFRESH;LASTLICENSEAUDIT;LEVEL;LICENSEAUDITPERIOD;LICENSECOMPLIANCE;MACHINE_GUID;MAXCMDRETRIES;MAXSCHEDSESSIONS;MAXSESSIONS;MINPWLENGTH;OUTBOUND_REPL;OUTBOUND_SESSIONS_DISABLED;PASSEXP;PLATFORM;QUERYSCHEDPERIOD;RANDOMIZE;REFRESH_INTERVAL;REGISTRATION;RELEASE;REPL_RETENTION;RESTART_DATE;RETRYPERIOD;SCHEDMODE;SCHEDULER;SERVER_HLA;SERVER_LLA;SERVER_NAME;SERVER_PASSSET;SPACEAVAIL_MB;SPACEUSEDONFS_MB;SUBFILE;SUBLEVEL;SUMMARYRETENTION;TARGET_REPL_SERVER_NAME;TOCLOADRETENTION;TOTALFS_MB;VERSION","STATUS",1
"auditocc","DAILY","ARCHIVE_COPY_MB;ARCHIVE_MB;BACKUP_ACTIVE_MB;BACKUP_COPY_MB;BACKUP_MB;NODE_NAME;SPACEMG_COPY_MB;SPACEMG_MB;TOTAL_MB","AUDITOCC",1
"volhistory","DAILY","BACKUP_OPERATION;BACKUP_SERIES;COMMAND;DATE_TIME;DB_BACKUP_STREAM_ID;DB2_HLA;DB2_HOMEPOS;DB2_LLA;DB2_LOGBLOCKNUM;DB2_OBJID;DB2_TOTALDATABYTES;DB2_TOTALLOGBYTES;DEVCLASS;LOCATION;TYPE;UNIQUE;VOLUME_NAME;VOLUME_SEQ;VOLUME_SEQ_IN_DB_BACKUP_STREAM","VOLHISTORY",1
"log","HOURLY","ACTIVE_LOG_DIR;AFAILOVER_LOG_DIR;ARCH_LOG_DIR;FREE_SPACE_MB;MIRROR_LOG_DIR;TOTAL_SPACE_MB;USED_SPACE_MB","LOG",1
"paths","HOURLY","COMM_METHOD;DESTINATION_NAME;DESTINATION_TYPE;DEVICE;DIRECTORY;EXTERNAL_MANAGER;INITIATOR_ID;LAST_UPDATE;LAST_UPDATE_BY;LIBRARY_NAME;LUN;NODE_NAME;ONLINE;SOURCE_NAME;SOURCE_TYPE;ZOS_MEDIA_SERVER","PATHS",1
